customer_id,customer_name,email,registration_date,customer_type
CUST-0048,Mary Martinez,william65@example.com,2025-08-01,VIP
CUST-0049,Cheryl Ortega,lbyrd@example.net,2025-03-17,PREMIUM
CUST-0050,Roy Torres,russellcarpenter@example.net,2024-06-27,VIP
CUST-0051,Michael Dixon,donnacampbell@example.net,2025-05-24,PREMIUM
CUST-0052,Robert Potter,jeffrey32@example.org,2023-09-07,PREMIUM
CUST-0053,Miss Patricia Gibson,jennifercruz@example.com,2024-04-05,PREMIUM
CUST-0054,Abigail Potter,osbornejeffery@example.net,2025-01-22,REGULAR
CUST-0055,David Charles,danderson@example.net,2025-02-05,REGULAR
CUST-0056,Emily Fischer,usalazar@example.net,2024-10-16,REGULAR
CUST-0057,Jill Moore,wcole@example.org,2025-12-31,REGULAR
CUST-0058,Richard Washington,joshuajones@example.com,2024-03-25,PREMIUM
CUST-0059,Steven Miller,jessebenson@example.net,2024-03-04,PREMIUM
CUST-0060,Gary Owens,clarkrobert@example.net,2026-04-23,PREMIUM
CUST-0061,Spencer Johnston,wsmith@example.com,2025-09-30,VIP
CUST-0062,Tiffany Barnes,tracynelson@example.com,2023-08-19,REGULAR
CUST-0063,Michael Powell,marycalhoun@example.net,2025-02-08,REGULAR
CUST-0064,Leslie Alvarado,dayderek@example.com,2024-01-29,VIP
CUST-0065,Garrett Gibson,kathleen64@example.com,2024-04-13,VIP
CUST-0066,Alec Ryan,jeffrey10@example.org,2026-04-27,PREMIUM
CUST-0067,Alex Hernandez,thomaswilson@example.org,2024-11-26,PREMIUM
CUST-0068,Jacob Obrien,stricklandfrank@@example.com,2023-11-12,VIP
CUST-0069,Eric Byrd,tsanders@example.org,2023-10-09,VIP
CUST-0070,Lori Garcia,melissa91@example.net,2025-10-31,VIP
CUST-0071,Jeffrey Wood,alexander67@example.org,2024-10-24,VIP
CUST-0072,Steven Stevens,ryangross@example.net,2024-05-02,VIP
CUST-0073,Kimberly Webb,lpetersen@example.com,2024-06-27,REGULAR
CUST-0074,Timothy Ramirez,dsanchez@example.net,2025-04-30,REGULAR
CUST-0075,Allen Rosales,tonykelly@example.com,2024-07-16,VIP
CUST-0076,Meredith Hill,blackjames@example.org,2025-08-25,VIP
CUST-0077,Peter Vaughn Dds,bwest@example.org,2024-05-28,REGULAR
CUST-0078,David Beck,thomas85@example.com,2026-06-16,PREMIUM
CUST-0079,Heather Chavez,john13@example.com,2023-11-24,PREMIUM
CUST-0080,Pamela Lopez,joannahill@example.net,2026-05-26,REGULAR
CUST-0081,Diane Garcia,kennethward@example.com,2023-08-04,REGULAR
CUST-0082,Denise Mccann,heidi27@example.org,2026-02-04,PREMIUM
CUST-0083,Julie Alexander,tammyking@example.com,2023-11-18,VIP
CUST-0084,John Ray,hernandezlisa@example.com,2023-10-18,REGULAR
CUST-0085,Justin Butler,kimberlyjames@example.com,2024-05-31,VIP
CUST-0086,Jessica Carroll,lynchjody@example.org,2025-05-16,VIP
CUST-0087,Brad Allen,moorericky@example.net,2025-04-13,PREMIUM
CUST-0088,David Mann,ojones@example.com,2025-11-05,VIP
CUST-0089,Mary Peck,owilson@example.net,2023-12-25,VIP
CUST-0090,Charles Brown,brooke94@example.com,2023-11-29,PREMIUM
CUST-0091,Melissa Bender,mkim@example.org,2026-02-22,VIP
CUST-0092,Lindsey Johnson,suzannehuff@example.net,2025-04-05,PREMIUM
CUST-0093,Phillip Underwood,hinesgregory@example.net,2025-06-13,PREMIUM
CUST-0094,Catherine Richards,ecosta@example.com,2024-09-27,REGULAR
CUST-0095,Brian Martin,ssteele@example.net,2026-04-22,REGULAR
CUST-0096,Krista Gibson,johnny16@example.net,2025-12-15,REGULAR
CUST-0097,Sean Murray,lopezmichael@example.com,2025-05-16,REGULAR
CUST-0098,Christina Dunn,samuel71@example.org,2026-05-22,VIP
CUST-0099,Cynthia Moore,tranchristopher@example.org,2024-11-22,REGULAR
CUST-0100,Ronnie Jimenez,william46@example.com,2026-05-29,PREMIUM
CUST-0101,Juan Reyes,michellehill@example.com,2024-07-16,REGULAR
CUST-0102,Debra Smith,mary97@example.org,2024-11-07,PREMIUM
CUST-0103,Mr. Phillip Bennett,molly39@example.com,2024-03-24,REGULAR
CUST-0104,Amanda Garner,qhughes@example.net,2026-05-30,VIP
CUST-0105,Andrew Shaw Md,sawyerscott@example.net,2026-03-16,REGULAR
CUST-0106,Charles Pitts,charlesharrington@example.com,2024-07-14,PREMIUM
CUST-0107,Marie Christian,ofinley@example.net,2026-02-20,REGULAR
CUST-0108,Joshua Williamson Ii,wendy16@example.org,2025-10-07,PREMIUM
CUST-0109,Ashlee Jackson,rebecca05@example.org,2024-05-27,PREMIUM
CUST-0110,Charles Schmidt,georgemiller@example.com,2025-05-10,REGULAR
CUST-0111,Thomas Thomas,dlittle@example.com,2025-06-29,VIP
CUST-0112,Julie Roberts,charleslandry@example.net,2024-06-02,PREMIUM
CUST-0113,Melissa Bryant,james67@example.org,2024-03-28,REGULAR
CUST-0114,Laura Haney,andrew64@example.org,2025-03-14,REGULAR
CUST-0115,Natasha Williams,swall@example.org,2025-04-27,REGULAR
CUST-0116,Mark Oliver,courtneyberger@example.net,2023-08-31,PREMIUM
CUST-0117,Amanda Diaz,christopherphillips@example.net,2024-10-04,REGULAR
CUST-0118,Richard Walter,alyssa42@example.com,2026-03-20,VIP
CUST-0119,Tracy Phillips,linda71@example.org,2025-09-30,VIP
CUST-0120,Michael Craig,zcoffey@example.net,2024-08-12,REGULAR
CUST-0121,Alexis Herrera,vrichardson@example.net,2024-04-24,REGULAR
CUST-0122,Mark Watson,thomasharvey@example.net,2024-07-03,PREMIUM
CUST-0123,Maria Reid,tblankenship@example.net,2024-09-27,PREMIUM
CUST-0124,Tracy Torres,pwilson@example.net,2023-12-11,REGULAR
CUST-0125,Michael Paul,umatthews@example.org,2026-02-17,PREMIUM
CUST-0126,Sandra Gilbert,antonio53@example.com,2024-11-05,PREMIUM
CUST-0127,Jack Pollard,amy50@example.com,2024-05-09,VIP
CUST-0128,Tiffany Holloway,batesdarlene@example.net,2026-05-20,VIP
CUST-0129,Gavin Zhang,caseyhubbard@example.org,2025-04-05,PREMIUM
CUST-0130,Crystal Schroeder,ramireztracey@example.org,2025-02-14,PREMIUM
CUST-0131,Ashley Delacruz,alexistyler@example.org,2025-04-07,REGULAR
CUST-0132,Derek Martinez,vfox@example.org,2024-12-08,VIP
CUST-0133,Kayla Rodriguez,soniawilliams@example.net,2025-01-25,PREMIUM
CUST-0134,Victor Brown,bboone@example.net,2023-11-12,VIP
CUST-0135,Jill Lam,charlene12@example.com,2025-05-15,VIP
CUST-0136,Michelle James,shawn96@example.org,2025-11-11,VIP
CUST-0137,Matthew Rich,russellbeasley@example.com,2024-07-15,REGULAR
CUST-0138,Jason Davis,qedwards@example.com,2026-05-01,REGULAR
CUST-0139,Kara Davis,daviscolin@example.net,2024-08-20,REGULAR
CUST-0140,Anthony Frye,elizabeth65@example.net,2026-04-18,VIP
CUST-0141,Thomas Williams,caroline51@example.net,2025-01-10,VIP
CUST-0142,John Boone,megan51@example.com,2025-03-22,REGULAR
CUST-0143,Sarah Villegas,lynchdiane@example.net,2024-04-30,VIP
CUST-0144,Michael Parker,michael22@example.net,2025-06-19,PREMIUM
CUST-0145,Patrick Bonilla,reesejason@example.com,2024-11-14,REGULAR
CUST-0146,Eric Nguyen,wareeric@example.net,2023-09-11,PREMIUM
CUST-0147,Jeremy Coleman,nperry@example.net,2023-11-18,PREMIUM
CUST-0148,Douglas Gregory,trose@example.org,2024-03-11,VIP
CUST-0149,Mrs. Christine Dougherty,kathrynroberts@example.org,2023-07-28,PREMIUM
CUST-0150,Casey James,vincentwhitaker@example.com,2023-10-04,REGULAR
CUST-0151,Amanda Smith,atkinsbarbara@@example.net,2024-09-23,VIP
CUST-0152,Donna Sullivan,george97@example.net,2026-03-26,REGULAR
CUST-0153,Ryan Sanchez,zwarren@example.com,2025-09-22,VIP
CUST-0154,Richard Jones,schmidtjames@example.com,2024-07-28,PREMIUM
CUST-0155,Maria Hernandez,thomasjames@example.net,2023-12-29,REGULAR
CUST-0156,Angela Bean,kmarshall@example.net,2024-11-09,REGULAR
CUST-0157,Kristy Reid,michelle52@example.com,2023-09-30,VIP
CUST-0158,Eric Hill,bellcharles@example.com,2024-11-12,VIP
CUST-0159,Ronald Jones,gilbertwilliam@example.com,2025-03-29,VIP
CUST-0160,Nancy Williams,marcalvarez@example.org,2026-05-05,VIP
CUST-0161,Robert Monroe,wagnergerald@example.org,2025-08-12,PREMIUM
CUST-0162,Kelly Bishop Md,paul59@example.org,2025-11-07,REGULAR
CUST-0163,Andrea Davis,umitchell@example.net,2026-05-13,REGULAR
CUST-0164,Brittany Miller,sabrinacollins@example.net,2025-08-02,REGULAR
CUST-0165,Kurt Hurley,angelica52@example.net,2025-08-07,REGULAR
CUST-0166,Yolanda Gaines,lucasrodney@example.com,2023-08-08,VIP
CUST-0167,Trevor Peterson,ilee@example.org,2023-10-10,PREMIUM
CUST-0168,Ashley Wise,stanleynancy@example.net,2023-12-06,VIP
CUST-0169,Christopher Guerra,jenniferwilliams@example.com,2025-07-10,VIP
CUST-0170,Jeremy Mitchell,pyoung@example.com,2026-05-14,REGULAR
CUST-0171,Stephanie Lee,smurray@example.com,2025-01-06,PREMIUM
CUST-0172,Christopher Gonzalez,moniquewilliams@example.com,2026-02-05,REGULAR
CUST-0173,Ashley Singleton,mitchellkathrynexample.com,2024-11-09,VIP
CUST-0174,Sandra Davis,lisawilkerson@example.org,2024-10-04,REGULAR
CUST-0175,James Hughes,brooksanthony@example.org,2025-12-30,VIP
CUST-0176,Raven Taylor,samantha72@example.net,2024-12-01,VIP
CUST-0177,Susan Smith,marydunnexample.net,2025-04-29,VIP
CUST-0178,Ricardo Young,williamsrobert@example.net,2024-11-18,VIP
CUST-0179,Taylor Carlson,chenbailey@example.net,2023-12-20,PREMIUM
CUST-0180,Lucas Allen,qlopez@example.org,2025-01-28,REGULAR
CUST-0181,Troy Stephens,myerstheodore@example.net,2024-09-04,REGULAR
CUST-0182,Paul Kelly,cooperjessica@example.net,2023-11-07,REGULAR
CUST-0183,Nicole Anderson,amy27@example.net,2024-12-11,REGULAR
CUST-0184,Chad Baldwin,mjohnson@example.org,2025-11-09,VIP
CUST-0185,Emily Collins,ihays@example.com,2024-04-15,VIP
CUST-0186,Cheryl Kelly,glennmartin@example.org,2025-11-18,PREMIUM
CUST-0187,James Gonzales,lmorgan@example.com,2025-07-26,VIP
CUST-0188,Robert Adams,acostachristian@example.net,2026-06-14,REGULAR
CUST-0189,Edward Garcia,donna47@example.net,2025-08-23,REGULAR
CUST-0190,Jeremy West,christina64@example.net,2026-05-29,REGULAR
CUST-0191,Angela Walsh,william20@example.org,2026-01-09,PREMIUM
CUST-0192,Jessica Martinez,kimberlydiaz@example.com,2026-04-27,PREMIUM
CUST-0193,Christian Cole,nathan19@example.org,2025-02-03,VIP
CUST-0194,Matthew Wright,johnsonjacob@example.net,2024-09-04,PREMIUM
CUST-0195,Deborah Green,nlewis@example.com,2025-07-28,VIP
CUST-0196,Mrs. Brandy Jones Md,zosborn@example.net,2026-05-16,REGULAR
CUST-0197,Miss Michelle Pierce,patricia22@example.com,2025-01-12,REGULAR
CUST-0198,Curtis Taylor,jjohnson@example.net,2024-08-16,PREMIUM
CUST-0199,Kristen Salazar,jonesraymond@example.net,2025-08-24,REGULAR
CUST-0200,Patricia Morrow,martinezlogan@example.org,2024-11-10,VIP
